problem_name,explanation
Two Sum,Brute force O(n^2) is a nested for loop. Slightly better is sorting the list and using 2 pointer (O(nlog(n))). Best is using a separate list tracking complements, O(n) space and O(n) time. If already sorted, use 2 pointers for O(1) space O(n) time.
Add Two Numbers,Iterate through both linked lists with two temps. While one list has a node still, keep adding nodes to res (initialized as dummy), keeping in mind of carry. Return res.next
Longest Substring Without Repeating Characters,"Have a set for seen characters, iterate through string until get to a character already in seen, then remove chars from seen starting from 0 until we remove character
(we can index sets in python and they are ordered). Continue loop, updating res to be max of seen every iteration."
Median of Two Sorted Arrays,"Wrong brute force O((n+m)log(n+m)) solution is to merge both arrays (add them together) and then sort, finding median that way. The correct O(log(n+m)) solution is to do binary search
over the 2 arrays by partitioning them. Take the middle index of the smaller one, finding the appropriate partition index for the bigger by subtracting smaller partition and 2 (zero-indexed) from half the bigger
array size. Do this in a while loop, updating left and right vals for both arrays until arr1 left is smaller than arr2 right and arr2 left is smaller than arr1 right."
Longest Palindromic Substring,"Loop through string and at each char, check the max palindromic substring (i,i) index versus (i, i+1) via an expand out helper function (key=len). Keep updating res to be max of res, and the
two possible palindromic subtrings. We check (i, i) and (i, i+1) for cases like aba and abba respectively."
Zigzag Conversion,"Create a list of all the rows (2d array) and when going through the string, add each character to the respective row, reversing when necessary. Then go through each row 1 by 1 for final returned string."
Reverse Integer,"Convert given int to string. Check if we are dealing with positive or negative case, update our string for negative case to be one less (exclude - sign). If n is greater than 10 we are passed our integer
range [-2,147,483,648,  2,147,483,647] so return 0. If n = 10 we need to check if the reversed int would be out of that range. Return based on case (*1 verus *-1), use splicing to reverse string[::-1] cast to int."
String to Integer (atoi),"Crap problem but essentially implement from spec. First move index passed/ignore whitespace. Then check sign case, looking out for weird plus minus cases. Then go through checking chars
until we go passed our boundary or run into a character. Returning based on positive versus negative case."
Palindrome Number,"If negative, not palindrome. Go through int, adding each digit to list, then check if palindrome from that list. (don't have to do even or odd cases just start from 0 and n-1, moving to n//2)."
Regular Expression Matching,"Use @cache to cache results, have 2 pointers moving forward for both pattern and string. If both reach end return True, if the pattern ends without the string return False. If char match move
forward (only if next char isn't asterisk, in which we check both cases of what the asterisk can do returning whether one will work)."
Container With Most Water,"Use 2 pointers, checking area each time, then we move left or right depending on which is smaller, as the minimum height is the bottleneck anyways. In other words, the only way we can get a
larger area (since we are decreasing width) is by having the smaller side be larger."
Integer to Roman,"Kind of bad problem. But all you do is start from the highest value (1000) and see how many you can fit in, then keep working down pretty much, some nuance (checking edge cases of like CM, CL, IX, etc.)"
Roman to Integer,"Easy, just go through string add corresponding vals."
Longest Common Prefix,"Sort array of strings, then iterate for length of smallest string (arr[0]) and check how many chars connect with last string in sorted array."
3Sum,"Sort so we can use 2 pointers. Iterate through the array and do 2 pointers on the inside, make sure that the first i iterating variable doesn't include duplicates by skipping repeat nums[i] (this still allows for
mutliple same values from the first instace obv btw). When we do find an answer, continue indexing (choose left or right to move does not matter, skipp duplicates here too)"
3Sum Closest,"Sort so we can use 2 pointers. Iterate through array and do 2 pointers on the inside, don't need to worry about duplicates tho."
Letter Combinations of a Phone Number,"Create a digit map to use, then implement recursive backtracking (stopping when the current/soFar = length of string). Go through each digit of the given string via list casting..."
